"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",292515,55198,227717,84687,315641,3222,366,2045549,22685,0
"Ice Harbor",89336,16499,31049,9402,958,0,0,145545,328,0
"John Day",188057,40509,75417,31229,260519,231,94,0,4858,0
"Little Goose",84303,18564,17616,7397,1054,0,0,0,73,0
"Lower Granite",80436,20124,18846,7649,1097,0,0,16964,39,0
"Lower Monumental",89766,17109,30194,10592,1119,0,0,0,117,0
"McNary",171055,31296,57210,22509,226386,49,17,745759,1169,0
"Priest Rapids",78524,6114,7711,0,266879,21,1,6312,3217,0
"Prosser",7883,1945,1448,1351,672,0,0,0,6,0
"Roza",5368,1596,294,247,706,8,0,0,0,0
"Rock Island",76548,9144,6102,3000,259067,0,0,0,732,59
"Rocky Reach",54869,5638,4425,2040,218168,0,0,0,675,124
"The Dalles",220930,43937,105385,44641,269193,457,127,827996,6246,0
"Tumwater",6900,1309,596,0,39496,0,0,0,0,0
"Wanapum",67668,4906,6750,0,212300,1,0,298,1563,0
"Wells",43884,5345,2546,1221,207396,0,0,0,0,68
"Willamette Falls",34748,1568,22253,0,0,29,37,0,0,0
