"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",285934,54186,224250,83805,315638,2494,306,2045525,22587,0
"Ice Harbor",89055,16444,30252,9190,958,0,0,145526,325,0
"John Day",186669,40177,73668,30708,260513,169,73,0,4816,0
"Little Goose",84146,18539,17298,7291,1053,0,0,0,72,0
"Lower Granite",80318,20100,18546,7545,1096,0,0,16961,38,0
"Lower Monumental",89560,17056,29666,10437,1119,0,0,0,115,0
"McNary",170255,31138,55834,22073,226383,36,12,745698,1147,0
"Priest Rapids",78360,6007,7477,0,266876,18,1,6303,3128,0
"Prosser",7854,1935,1447,1350,670,0,0,0,6,0
"Roza",5366,1595,294,247,703,8,0,0,0,0
"Rock Island",76412,9062,5878,2912,259060,0,0,0,701,59
"Rocky Reach",54685,5582,4251,1970,218156,0,0,0,636,124
"The Dalles",218575,43489,102684,43867,269189,351,105,827982,6198,0
"Tumwater",6895,1308,589,0,39437,0,0,0,0,0
"Wanapum",67544,4861,6595,0,212298,1,0,297,1510,0
"Wells",43718,5303,2428,1167,207379,0,0,0,0,68
"Willamette Falls",34741,1565,22245,0,0,27,36,0,0,0
