"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",244872,46944,75070,34833,314200,-1,0,2040974,15670,0
"Ice Harbor",86191,16029,13193,3943,915,0,0,143374,130,0
"John Day",172304,36535,30774,13904,258200,1,1,0,2601,0
"Little Goose",81761,18128,8333,3838,976,0,0,0,22,0
"Lower Granite",78455,19552,11554,4644,973,0,0,15505,5,0
"Lower Monumental",87130,16528,14990,5173,1068,0,0,0,34,0
"McNary",157723,28768,21989,8601,224202,3,0,729646,406,0
"Priest Rapids",67506,3788,1777,0,261477,0,0,5604,765,0
"Prosser",7700,1890,1446,1349,520,0,0,0,6,0
"Roza",5281,1533,294,247,290,8,0,0,0,0
"Rock Island",63689,6368,1198,657,249983,0,0,0,84,59
"Rocky Reach",41184,3540,991,532,207357,0,0,0,55,122
"The Dalles",196244,38724,40644,19641,267530,0,0,826246,3769,0
"Tumwater",5031,1042,346,0,25439,0,0,0,0,0
"Wanapum",57815,3399,1580,0,207215,0,0,233,314,0
"Wells",31636,3446,433,240,191696,0,0,0,0,68
"Willamette Falls",34166,1452,21660,0,0,0,0,0,0,0
