"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",761225,133035,328959,109789,315666,107525,6822,2045668,24308,0
"Ice Harbor",126326,33269,160115,40160,958,3637,329,145569,416,0
"John Day",431893,98670,241646,78958,260633,38778,4006,0,5753,0
"Little Goose",118277,33375,144773,36496,1056,3735,637,0,83,0
"Lower Granite",113992,37215,145047,38193,1117,3599,347,16968,48,0
"Lower Monumental",123308,35701,160241,42318,1119,3696,572,0,142,0
"McNary",398086,72954,211140,64167,226533,26434,3309,745984,1501,0
"Priest Rapids",139972,12737,18778,0,266896,8888,759,6382,5167,0
"Prosser",10717,2314,2785,2582,753,3658,301,0,7,0
"Roza",5432,1630,300,249,758,78,3,0,0,0
"Rock Island",89354,12682,16742,6957,259217,11247,635,0,1543,59
"Rocky Reach",64740,8252,13105,5117,218303,3081,180,0,1418,124
"The Dalles",521703,110763,264699,86514,269257,46402,4227,828067,7033,0
"Tumwater",6999,1341,1146,0,39913,412,0,0,0,0
"Wanapum",90685,8340,15728,0,212317,4486,345,320,3142,0
"Wells",48855,6928,10064,4060,207589,1744,18,0,0,68
"Willamette Falls",36260,1994,22835,0,0,9564,2576,0,0,0
