"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",237663,45276,40371,18147,307259,-1,0,2031993,11686,0
"Ice Harbor",85333,15791,9427,2682,781,0,0,138096,74,0
"John Day",165738,34827,17920,7779,249113,0,1,0,1746,0
"Little Goose",80636,17659,6665,3118,738,0,0,0,10,0
"Lower Granite",77262,18928,10265,4067,675,0,0,12760,1,0
"Lower Monumental",86085,16141,11629,3843,859,0,0,0,20,0
"McNary",150924,27483,13865,4928,213599,3,0,694566,216,0
"Priest Rapids",58911,3422,976,0,234710,0,0,4783,418,0
"Prosser",7671,1872,1445,1348,408,0,0,0,6,0
"Roza",5219,1480,294,247,100,8,0,0,0,0
"Rock Island",53757,5308,627,356,205669,0,0,0,33,56
"Rocky Reach",32207,2706,648,380,161389,0,0,0,19,119
"The Dalles",189305,37099,20175,9580,259403,0,0,823419,2544,0
"Tumwater",3350,662,289,0,8608,0,0,0,0,0
"Wanapum",49862,3110,866,0,182867,0,0,214,192,0
"Wells",23594,2645,247,151,136030,0,0,0,0,68
"Willamette Falls",33620,1387,21141,0,0,0,0,0,0,0
