"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",722830,123449,317785,106827,315666,73893,4777,2045668,24227,0
"Ice Harbor",122303,29897,116249,29374,958,2250,231,145569,409,0
"John Day",395070,88496,201115,65428,260631,26149,3236,0,5698,0
"Little Goose",112540,29568,90352,24463,1056,1436,294,0,84,0
"Lower Granite",107707,32180,85977,24493,1114,973,128,16968,48,0
"Lower Monumental",118827,31806,109838,30001,1119,1727,312,0,141,0
"McNary",351065,62965,164323,50333,226517,16944,2441,745984,1477,0
"Priest Rapids",121143,11004,17048,0,266896,4207,417,6379,4955,0
"Prosser",9603,2177,1965,1835,752,929,108,0,7,0
"Roza",5423,1625,295,248,755,9,0,0,0,0
"Rock Island",85098,11788,14861,6267,259202,3447,313,0,1455,59
"Rocky Reach",61355,7518,11201,4440,218288,742,63,0,1365,124
"The Dalles",483134,100008,234868,77318,269255,33520,3434,828067,6998,0
"Tumwater",6964,1337,894,0,39910,59,0,0,0,0
"Wanapum",82510,7474,14112,0,212317,1387,188,317,2962,0
"Wells",47555,6536,8170,3347,207572,292,4,0,0,68
"Willamette Falls",35811,1878,22691,0,0,5419,1736,0,0,0
