"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",707901,119442,313814,105852,315666,69725,4386,2045668,24200,0
"Ice Harbor",120459,28631,106585,27143,958,1920,212,145569,406,0
"John Day",380158,84040,188996,62110,260628,23565,2971,0,5669,0
"Little Goose",110551,28509,80023,22175,1056,1084,237,0,84,0
"Lower Granite",105336,30713,75806,22185,1114,620,97,16968,48,0
"Lower Monumental",117085,30521,99429,27602,1119,1281,276,0,141,0
"McNary",334277,59436,152846,47441,226508,15066,2285,745984,1466,0
"Priest Rapids",115761,10515,16489,0,266896,3431,353,6378,4880,0
"Prosser",9473,2149,1861,1737,752,559,82,0,7,0
"Roza",5421,1624,295,248,752,9,0,0,0,0
"Rock Island",84115,11582,14289,6054,259199,2375,254,0,1436,59
"Rocky Reach",60616,7357,10681,4259,218283,431,46,0,1341,124
"The Dalles",468684,95961,225580,74779,269255,31035,3258,828067,6977,0
"Tumwater",6958,1337,869,0,39904,36,0,0,0,0
"Wanapum",80245,7255,13633,0,212317,1120,166,317,2903,0
"Wells",47233,6443,7668,3167,207567,135,3,0,0,68
"Willamette Falls",35688,1824,22656,0,0,4087,1372,0,0,0
