"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",239526,45687,46299,21115,309891,-1,0,2034930,12500,0
"Ice Harbor",85566,15852,10108,2900,827,0,0,140179,82,0
"John Day",167247,35265,19915,8756,252342,0,1,0,1931,0
"Little Goose",80937,17789,6930,3231,808,0,0,0,13,0
"Lower Granite",77611,19124,10493,4159,751,0,0,13356,2,0
"Lower Monumental",86358,16258,12214,4070,935,0,0,0,23,0
"McNary",152469,27784,15065,5481,217463,3,0,704609,247,0
"Priest Rapids",60975,3480,1107,0,244694,0,0,5023,467,0
"Prosser",7674,1875,1445,1348,412,0,0,0,6,0
"Roza",5245,1497,294,247,127,8,0,0,0,0
"Rock Island",56241,5562,718,406,220701,0,0,0,39,56
"Rocky Reach",34256,2892,700,403,175367,0,0,0,25,119
"The Dalles",191227,37528,23805,11399,262373,0,0,824272,2791,0
"Tumwater",3797,747,300,0,13530,0,0,0,0,0
"Wanapum",51625,3179,985,0,190980,0,0,221,212,0
"Wells",25346,2814,277,166,151769,0,0,0,0,68
"Willamette Falls",33741,1398,21258,0,0,0,0,0,0,0
