"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",766588,134111,331295,110610,315666,118877,7316,2045668,24320,0
"Ice Harbor",126920,33552,171241,43707,958,4159,375,145569,416,0
"John Day",437253,99958,250375,82288,260634,41512,4158,0,5763,0
"Little Goose",119288,34009,158284,39917,1056,4234,749,0,83,0
"Lower Granite",115064,38144,162768,42960,1117,4378,422,16968,48,0
"Lower Monumental",123776,36115,176609,47662,1119,4550,641,0,141,0
"McNary",404258,74288,222224,67761,226533,28605,3476,745984,1502,0
"Priest Rapids",149896,13351,19196,0,266896,10506,830,6387,5195,0
"Prosser",12195,2431,4047,3754,753,5732,402,0,7,0
"Roza",5432,1630,306,253,758,498,4,0,0,0
"Rock Island",94944,13018,17168,7124,259217,14409,741,0,1557,59
"Rocky Reach",69810,8576,13602,5331,218305,4151,217,0,1419,134
"The Dalles",527278,112198,270378,88659,269257,48653,4377,828067,7033,0
"Tumwater",6999,1341,1367,0,39913,742,0,0,0,0
"Wanapum",95327,8647,16107,0,212317,5904,394,320,3183,0
"Wells",50892,7102,10606,4288,207589,2678,20,0,0,68
"Willamette Falls",36292,1997,22936,0,0,10386,2682,0,0,0
