"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",755378,131732,326908,109152,315666,97245,6314,2045668,24300,0
"Ice Harbor",125809,32854,151802,37874,958,3281,310,145569,414,0
"John Day",425652,97267,232850,75640,260633,34788,3816,0,5743,0
"Little Goose",117465,32818,133499,33959,1056,3198,566,0,84,0
"Lower Granite",113146,36425,131717,35001,1117,2925,302,16968,48,0
"Lower Monumental",122813,35240,150224,39704,1119,3248,534,0,141,0
"McNary",389644,71209,202239,61132,226531,24287,3191,745984,1498,0
"Priest Rapids",135425,12381,18471,0,266896,7531,689,6383,5135,0
"Prosser",10121,2257,2448,2286,753,2616,251,0,7,0
"Roza",5431,1630,299,249,758,49,1,0,0,0
"Rock Island",88140,12478,16420,6838,259214,8937,554,0,1533,59
"Rocky Reach",63754,8072,12737,4976,218302,2379,151,0,1414,124
"The Dalles",515189,109275,259343,84693,269257,42750,4011,828067,7030,0
"Tumwater",6997,1341,1032,0,39913,233,0,0,0,0
"Wanapum",88477,8145,15390,0,212317,3230,310,319,3115,0
"Wells",48468,6822,9670,3901,207587,1304,14,0,0,68
"Willamette Falls",36193,1976,22791,0,0,8842,2462,0,0,0
