"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",218752,40777,16155,5599,230233,-1,0,1948314,6818,0
"Ice Harbor",81911,14749,6615,1799,217,0,0,94326,24,0
"John Day",148852,30755,8939,3404,166967,0,1,0,715,0
"Little Goose",75985,15722,5456,2666,120,0,0,0,-1,0
"Lower Granite",72749,16529,9331,3711,63,0,0,5715,0,0
"Lower Monumental",82084,14460,9127,3015,188,0,0,0,6,0
"McNary",132817,24130,8544,2730,125129,3,0,507511,82,0
"Priest Rapids",36766,2682,294,0,80837,0,0,1205,133,0
"Prosser",7560,1800,1437,1342,131,0,0,0,6,0
"Roza",4888,1221,294,247,27,8,0,0,0,0
"Rock Island",31101,3665,247,146,40786,0,0,0,6,45
"Rocky Reach",14714,1531,422,278,24972,0,0,0,2,108
"The Dalles",171982,33233,6946,2690,179895,0,0,778438,1131,0
"Tumwater",1488,180,259,0,396,0,0,0,0,0
"Wanapum",29553,2626,295,0,51598,0,0,42,60,0
"Wells",9832,1709,138,94,14014,0,0,0,0,66
"Willamette Falls",31689,1259,19700,0,0,0,0,0,0,0
