"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",276585,52739,217274,82063,315633,1646,245,2045476,22393,0
"Ice Harbor",88579,16359,28884,8819,958,0,0,145507,318,0
"John Day",184886,39720,70329,29711,260504,93,43,0,4724,0
"Little Goose",83841,18489,16637,7070,1053,0,0,0,68,0
"Lower Granite",80105,20063,17887,7314,1095,0,0,16955,36,0
"Lower Monumental",89187,16973,28607,10115,1119,0,0,0,111,0
"McNary",168707,30848,53163,21223,226377,21,7,745568,1114,0
"Priest Rapids",77972,5809,7079,0,266869,16,0,6289,2967,0
"Prosser",7840,1931,1446,1349,668,0,0,0,6,0
"Roza",5363,1591,294,247,695,8,0,0,0,0
"Rock Island",76066,8886,5481,2750,259038,0,0,0,627,59
"Rocky Reach",54343,5448,3945,1845,218132,0,0,0,566,124
"The Dalles",214952,42730,97874,42495,269177,204,68,827950,6094,0
"Tumwater",6886,1305,575,0,39343,0,0,0,0,0
"Wanapum",67317,4753,6280,0,212294,1,0,291,1408,0
"Wells",43337,5196,2184,1055,207326,0,0,0,0,68
"Willamette Falls",34731,1563,22235,0,0,23,31,0,0,0
