"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",244288,46802,71020,32956,313933,-1,0,2040529,15274,0
"Ice Harbor",86129,16014,12778,3807,910,0,0,143142,123,0
"John Day",171808,36400,29261,13178,257794,1,1,0,2518,0
"Little Goose",81663,18103,8133,3758,966,0,0,0,21,0
"Lower Granite",78349,19495,11404,4575,955,0,0,15283,5,0
"Lower Monumental",87061,16506,14653,5035,1060,0,0,0,33,0
"McNary",157260,28672,20963,8141,223849,3,0,727716,378,0
"Priest Rapids",66817,3754,1678,0,260499,0,0,5548,713,0
"Prosser",7685,1883,1446,1349,447,0,0,0,6,0
"Roza",5278,1530,294,247,278,8,0,0,0,0
"Rock Island",62761,6277,1130,620,247832,0,0,0,76,59
"Rocky Reach",40351,3465,952,516,205098,0,0,0,50,121
"The Dalles",195739,38595,38432,18534,267183,0,0,826090,3657,0
"Tumwater",4919,1012,340,0,24459,0,0,0,0,0
"Wanapum",56983,3357,1493,0,206165,0,0,232,294,0
"Wells",30947,3377,407,227,188702,0,0,0,0,68
"Willamette Falls",34109,1445,21607,0,0,0,0,0,0,0
