"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",150557,25630,5514,1715,125,-1,0,225700,1128,0
"Ice Harbor",59980,9027,5618,1606,0,0,0,839,1,0
"John Day",97138,18973,5293,2131,16,0,1,0,80,0
"Little Goose",51868,8306,5094,2577,0,0,0,0,0,0
"Lower Granite",48937,8528,9079,3641,0,0,0,3,0,0
"Lower Monumental",58071,8101,8273,2839,0,0,0,0,1,0
"McNary",85041,14645,6510,2167,7,1,0,6479,8,0
"Priest Rapids",14324,1325,69,0,4,0,0,1,20,0
"Prosser",6022,993,1431,1337,0,0,0,0,6,0
"Roza",1924,104,294,247,0,8,0,0,0,0
"Rock Island",13274,1671,137,80,0,0,0,0,0,17
"Rocky Reach",5295,697,342,234,0,0,0,0,0,45
"The Dalles",114273,20951,2767,1132,38,0,0,119201,7,0
"Tumwater",57,0,248,0,0,0,0,0,0,0
"Wanapum",12877,1297,111,0,1,0,0,1,11,0
"Wells",3705,700,88,63,0,0,0,0,0,24
"Willamette Falls",22130,788,12794,0,0,0,0,0,0,0
