"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",766810,134142,331614,110730,315666,119359,7336,2045668,24327,0
"Ice Harbor",126966,33554,172323,44163,958,4165,380,145569,416,0
"John Day",437545,100032,251571,82655,260634,41553,4160,0,5763,0
"Little Goose",119352,34037,159393,40235,1056,4241,755,0,83,0
"Lower Granite",115148,38183,164669,43550,1117,4405,425,16968,48,0
"Lower Monumental",123821,36164,178056,48194,1119,4590,645,0,141,0
"McNary",404432,74307,222898,67962,226533,28702,3479,745984,1502,0
"Priest Rapids",149996,13357,19206,0,266896,10517,831,6387,5195,0
"Prosser",12210,2432,4216,3918,753,5771,407,0,7,0
"Roza",5432,1630,307,254,758,499,4,0,0,0
"Rock Island",95002,13025,17187,7133,259217,14427,743,0,1557,59
"Rocky Reach",69856,8580,13631,5343,218305,4161,218,0,1419,138
"The Dalles",527507,112277,270934,88824,269257,48689,4380,828067,7034,0
"Tumwater",6999,1341,1390,0,39913,747,0,0,0,0
"Wanapum",95373,8651,16122,0,212317,5913,395,320,3184,0
"Wells",50906,7105,10643,4307,207589,2687,20,0,0,68
"Willamette Falls",36292,1997,22968,0,0,10447,2688,0,0,0
