"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",252885,48752,140850,60460,315504,20,8,2044567,20202,0
"Ice Harbor",86930,16148,20961,6475,951,0,0,145163,228,0
"John Day",177495,38042,50111,22659,260288,6,2,0,3897,0
"Little Goose",82659,18341,11877,5299,1044,0,0,0,45,0
"Lower Granite",79238,19881,13983,5727,1071,0,0,16739,19,0
"Lower Monumental",87856,16719,21421,7646,1111,0,0,0,72,0
"McNary",163193,29824,37825,15587,226160,3,0,742653,798,0
"Priest Rapids",74299,4490,4191,0,266534,0,0,6088,1709,0
"Prosser",7811,1920,1446,1349,665,0,0,0,6,0
"Roza",5335,1567,294,247,558,8,0,0,0,0
"Rock Island",71862,7504,2887,1524,258369,0,0,0,255,59
"Rocky Reach",49992,4451,2077,1032,217336,0,0,0,201,122
"The Dalles",202547,40334,70592,33224,269006,1,0,827574,5167,0
"Tumwater",6527,1257,461,0,37885,0,0,0,0,0
"Wanapum",64204,3854,3729,0,211923,0,0,261,722,0
"Wells",39382,4468,997,502,206131,0,0,0,0,68
"Willamette Falls",34574,1506,22047,0,0,1,1,0,0,0
