"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",233126,44262,30559,13092,298615,-1,0,2024275,10156,0
"Ice Harbor",84714,15589,8298,2287,638,0,0,131333,61,0
"John Day",162303,33969,14166,5858,238263,0,1,0,1411,0
"Little Goose",79797,17256,6163,2919,564,0,0,0,5,0
"Lower Granite",76428,18408,9880,3906,482,0,0,10545,0,0
"Lower Monumental",85319,15786,10651,3496,680,0,0,0,13,0
"McNary",146975,26725,11642,3925,198921,3,0,663376,163,0
"Priest Rapids",53933,3254,739,0,205081,0,0,4143,317,0
"Prosser",7639,1853,1443,1348,216,0,0,0,6,0
"Roza",5159,1434,294,247,83,8,0,0,0,0
"Rock Island",48003,4796,476,274,167998,0,0,0,22,54
"Rocky Reach",27197,2329,555,338,125446,0,0,0,12,117
"The Dalles",185708,36271,14893,6790,249755,0,0,820088,2038,0
"Tumwater",2639,489,276,0,2851,0,0,0,0,0
"Wanapum",45181,2999,660,0,161382,0,0,184,146,0
"Wells",19762,2324,203,129,98184,0,0,0,0,68
"Willamette Falls",33360,1360,20875,0,0,0,0,0,0,0
