"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",315949,58638,237616,87306,315649,5712,542,2045616,23009,0
"Ice Harbor",90267,16748,33483,10002,958,1,1,145559,336,0
"John Day",193460,41742,82037,33094,260544,425,148,0,4972,0
"Little Goose",84890,18673,18667,7711,1054,0,0,0,76,0
"Lower Granite",80875,20215,19707,7944,1098,0,0,16967,42,0
"Lower Monumental",90500,17303,31772,11066,1119,0,0,0,122,0
"McNary",173734,31895,61359,23749,226394,98,28,745904,1216,0
"Priest Rapids",79225,6438,8491,0,266882,25,1,6333,3472,0
"Prosser",7943,1959,1451,1354,677,0,0,0,6,0
"Roza",5372,1597,294,247,714,8,0,0,0,0
"Rock Island",76962,9430,6778,3271,259090,0,1,0,869,59
"Rocky Reach",55313,5816,4955,2244,218189,0,0,0,778,124
"The Dalles",230002,45809,112810,46644,269202,887,262,828042,6349,0
"Tumwater",6911,1314,616,0,39595,0,0,0,0,0
"Wanapum",67967,5169,7169,0,212307,3,0,304,1731,0
"Wells",44341,5473,2952,1382,207437,0,0,0,0,68
"Willamette Falls",34783,1574,22283,0,0,43,48,0,0,0
