"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",250843,48363,126357,55297,315405,6,4,2044123,19550,0
"Ice Harbor",86754,16121,19261,5924,948,0,0,144931,204,0
"John Day",176582,37771,46025,20986,260137,1,2,0,3644,0
"Little Goose",82449,18302,10718,4809,1037,0,0,0,39,0
"Lower Granite",79083,19827,13274,5415,1060,0,0,16619,16,0
"Lower Monumental",87682,16686,19734,7014,1106,0,0,0,62,0
"McNary",162259,29623,34222,14025,226024,3,0,741339,715,0
"Priest Rapids",73020,4241,3579,0,266235,0,0,6010,1459,0
"Prosser",7807,1919,1446,1349,663,0,0,0,6,0
"Roza",5325,1560,294,247,502,8,0,0,0,0
"Rock Island",70592,7249,2418,1280,257873,0,0,0,192,59
"Rocky Reach",48654,4293,1752,883,216752,0,0,0,157,122
"The Dalles",201171,40014,65023,30957,268894,0,0,827400,4889,0
"Tumwater",6330,1237,435,0,36808,0,0,0,0,0
"Wanapum",63114,3715,3163,0,211632,0,0,256,598,0
"Wells",38245,4279,841,430,205327,0,0,0,0,68
"Willamette Falls",34538,1492,22003,0,0,0,0,0,0,0
