"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",648487,105308,301211,102838,315665,59169,3588,2045668,24122,0
"Ice Harbor",113592,24967,81969,21465,958,930,150,145569,393,0
"John Day",334269,71840,160266,54340,260621,16203,2207,0,5577,0
"Little Goose",103615,25128,55683,16745,1056,399,111,0,83,0
"Lower Granite",96954,26553,51026,16328,1111,143,28,16968,48,0
"Lower Monumental",110910,26379,75374,21917,1119,520,103,0,139,0
"McNary",285105,50263,124572,40347,226488,8440,1262,745984,1429,0
"Priest Rapids",100002,9188,14818,0,266894,1633,229,6373,4661,0
"Prosser",8956,2085,1663,1554,747,148,30,0,7,0
"Roza",5412,1620,294,247,741,8,0,0,0,0
"Rock Island",81146,11037,12525,5394,259182,685,127,0,1364,59
"Rocky Reach",58519,6966,9204,3736,218269,83,21,0,1277,124
"The Dalles",418437,82659,197639,67754,269251,23353,2630,828067,6904,0
"Tumwater",6952,1337,803,0,39885,9,0,0,0,0
"Wanapum",74762,6675,12322,0,212317,668,120,317,2701,0
"Wells",46406,6207,6439,2714,207549,16,0,0,0,68
"Willamette Falls",35377,1736,22566,0,0,1693,674,0,0,0
