"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",763146,133453,329614,109987,315666,111103,6991,2045668,24307,0
"Ice Harbor",126499,33391,163742,41152,958,3855,345,145569,416,0
"John Day",433803,99095,244838,80150,260633,40008,4074,0,5757,0
"Little Goose",118555,33551,149005,37503,1056,3918,660,0,83,0
"Lower Granite",114302,37508,150360,39569,1117,3869,371,16968,48,0
"Lower Monumental",123470,35855,164314,43502,1119,3920,592,0,142,0
"McNary",400447,73424,215206,65646,226533,27440,3387,745984,1501,0
"Priest Rapids",142366,12885,18918,0,266896,9606,788,6382,5176,0
"Prosser",11181,2353,3137,2907,753,4547,338,0,7,0
"Roza",5432,1630,301,250,758,136,4,0,0,0
"Rock Island",90091,12777,16867,7005,259217,12339,667,0,1547,59
"Rocky Reach",65396,8346,13230,5167,218305,3426,192,0,1419,126
"The Dalles",523868,111233,266530,87170,269257,47280,4287,828067,7033,0
"Tumwater",6999,1341,1206,0,39913,578,0,0,0,0
"Wanapum",91849,8423,15844,0,212317,5118,364,320,3154,0
"Wells",49087,6974,10204,4118,207589,1998,20,0,0,68
"Willamette Falls",36274,1997,22852,0,0,9821,2610,0,0,0
