"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",173444,30434,7031,2080,7485,-1,0,884943,2774,0
"Ice Harbor",68045,11221,5715,1615,1,0,0,13591,3,0
"John Day",112539,22387,5607,2219,2654,0,1,0,165,0
"Little Goose",60678,11143,5132,2586,2,0,0,0,0,0
"Lower Granite",57518,11629,9104,3651,0,0,0,65,0,0
"Lower Monumental",66431,10551,8363,2854,0,0,0,0,1,0
"McNary",97880,17615,6692,2196,1024,2,0,84792,15,0
"Priest Rapids",17057,1787,85,0,191,0,0,9,37,0
"Prosser",6698,1316,1431,1337,1,0,0,0,6,0
"Roza",3192,420,294,247,0,8,0,0,0,0
"Rock Island",15694,2445,152,89,33,0,0,0,1,29
"Rocky Reach",6316,1091,364,246,13,0,0,0,0,78
"The Dalles",132143,24708,3109,1209,3538,0,0,349214,213,0
"Tumwater",214,7,248,0,0,0,0,0,0,0
"Wanapum",15203,1883,127,0,79,0,0,2,22,0
"Wells",4479,1237,103,74,3,0,0,0,0,45
"Willamette Falls",25315,980,15337,0,0,0,0,0,0,0
