"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",766479,134091,331210,110577,315666,118656,7307,2045668,24320,0
"Ice Harbor",126894,33548,170853,43559,958,4149,374,145569,416,0
"John Day",437169,99925,250145,82234,260634,41488,4158,0,5764,0
"Little Goose",119266,33997,157977,39837,1056,4233,745,0,83,0
"Lower Granite",115032,38126,162132,42772,1117,4363,420,16968,48,0
"Lower Monumental",123770,36106,176167,47511,1119,4531,638,0,141,0
"McNary",404184,74272,221970,67703,226533,28560,3475,745984,1502,0
"Priest Rapids",149820,13347,19187,0,266896,10500,830,6387,5194,0
"Prosser",12184,2430,4001,3710,753,5716,399,0,7,0
"Roza",5432,1630,305,252,758,498,4,0,0,0
"Rock Island",94878,13011,17151,7116,259217,14384,740,0,1557,59
"Rocky Reach",69741,8570,13577,5320,218305,4141,217,0,1419,132
"The Dalles",527189,112173,270264,88625,269257,48647,4377,828067,7033,0
"Tumwater",6999,1341,1360,0,39913,739,0,0,0,0
"Wanapum",95280,8642,16097,0,212317,5896,393,320,3181,0
"Wells",50872,7100,10576,4277,207589,2668,20,0,0,68
"Willamette Falls",36292,1997,22931,0,0,10374,2680,0,0,0
