"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",764757,133781,330222,110191,315666,114449,7142,2045668,24309,0
"Ice Harbor",126633,33485,166851,42025,958,4005,354,145569,416,0
"John Day",435562,99442,247285,81169,260634,40911,4117,0,5760,0
"Little Goose",118832,33768,153363,38578,1056,4113,694,0,83,0
"Lower Granite",114600,37780,155267,40907,1117,4131,393,16968,48,0
"Lower Monumental",123596,35962,168309,44689,1119,4098,626,0,142,0
"McNary",402513,73868,218163,66694,226533,28092,3440,745984,1501,0
"Priest Rapids",146114,13108,19046,0,266896,10111,813,6384,5183,0
"Prosser",11738,2388,3401,3144,753,5087,366,0,7,0
"Roza",5432,1630,302,250,758,283,4,0,0,0
"Rock Island",91952,12883,16992,7049,259217,13497,707,0,1553,59
"Rocky Reach",66739,8443,13360,5220,218305,3797,203,0,1419,127
"The Dalles",525719,111647,268273,87885,269257,48309,4348,828067,7033,0
"Tumwater",6999,1341,1251,0,39913,667,0,0,0,0
"Wanapum",93524,8544,15976,0,212317,5582,382,320,3166,0
"Wells",49591,7029,10330,4169,207589,2275,20,0,0,68
"Willamette Falls",36281,1997,22874,0,0,10052,2633,0,0,0
