"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",182554,32525,7937,2324,23068,-1,0,1170690,3359,0
"Ice Harbor",71484,11961,5801,1627,5,0,0,25036,5,0
"John Day",119350,23710,5829,2274,9373,0,1,0,227,0
"Little Goose",63635,11979,5157,2590,2,0,0,0,0,0
"Lower Granite",60409,12520,9120,3654,0,0,0,415,0,0
"Lower Monumental",69973,11262,8423,2865,1,0,0,0,1,0
"McNary",104338,18851,6830,2220,3873,2,0,142053,18,0
"Priest Rapids",19054,1942,97,0,951,0,0,18,46,0
"Prosser",6980,1460,1431,1337,4,0,0,0,6,0
"Roza",3609,569,294,247,0,8,0,0,0,0
"Rock Island",16861,2654,160,93,249,0,0,0,1,33
"Rocky Reach",6819,1156,371,250,107,0,0,0,0,87
"The Dalles",140015,26310,3367,1279,12797,0,0,433866,386,0
"Tumwater",296,12,249,0,0,0,0,0,0,0
"Wanapum",16625,2054,137,0,558,0,0,2,27,0
"Wells",4812,1336,107,77,34,0,0,0,0,51
"Willamette Falls",26337,1042,16383,0,0,0,0,0,0,0
