"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",613855,98613,294065,101134,315665,53488,3191,2045668,24060,0
"Ice Harbor",109876,23387,71611,19004,958,538,81,145569,387,0
"John Day",309655,65563,146847,50726,260617,12142,1775,0,5522,0
"Little Goose",99137,23458,46233,14549,1056,191,54,0,82,0
"Lower Granite",92978,24816,43023,14401,1109,55,13,16968,48,0
"Lower Monumental",106487,24090,64772,19345,1119,269,60,0,138,0
"McNary",263294,46488,112121,37295,226479,5606,921,745984,1411,0
"Priest Rapids",93958,8645,13935,0,266892,975,151,6373,4553,0
"Prosser",8763,2057,1590,1486,742,70,16,0,6,0
"Roza",5412,1619,294,247,738,8,0,0,0,0
"Rock Island",80069,10821,11620,5062,259172,364,83,0,1319,59
"Rocky Reach",57629,6786,8434,3466,218259,38,15,0,1231,124
"The Dalles",391262,75984,185849,64918,269250,18121,2357,828067,6857,0
"Tumwater",6950,1336,774,0,39876,4,0,0,0,0
"Wanapum",72558,6420,11628,0,212317,442,94,316,2600,0
"Wells",46097,6112,5854,2495,207541,7,0,0,0,68
"Willamette Falls",35281,1700,22541,0,0,1298,481,0,0,0
