"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",327182,60030,240604,88091,315651,6567,622,2045638,23081,0
"Ice Harbor",90646,16872,34545,10250,958,2,1,145562,338,0
"John Day",195934,42314,84195,33692,260549,557,167,0,5003,0
"Little Goose",85131,18736,19167,7854,1054,0,0,0,77,0
"Lower Granite",81021,20255,19965,8025,1099,0,0,16968,43,0
"Lower Monumental",90823,17416,32486,11263,1119,0,0,0,123,0
"McNary",175128,32182,63021,24229,226399,139,39,745941,1232,0
"Priest Rapids",79440,6550,8773,0,266884,29,2,6343,3550,0
"Prosser",7957,1961,1452,1355,678,0,0,0,6,0
"Roza",5373,1598,294,247,717,8,0,0,0,0
"Rock Island",77089,9536,6991,3355,259096,0,1,0,902,59
"Rocky Reach",55437,5888,5117,2305,218197,0,0,0,806,124
"The Dalles",233787,46516,115019,47214,269204,1056,305,828047,6384,0
"Tumwater",6914,1317,621,0,39616,0,0,0,0,0
"Wanapum",68086,5200,7253,0,212308,3,0,304,1768,0
"Wells",44478,5512,3103,1442,207446,0,0,0,0,68
"Willamette Falls",34796,1576,22292,0,0,51,54,0,0,0
