"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",735535,126880,321286,107699,315666,79861,5265,2045668,24264,0
"Ice Harbor",124010,31343,130027,32576,958,2620,263,145569,411,0
"John Day",407515,92493,214066,69515,260632,28817,3447,0,5721,0
"Little Goose",114844,30917,104949,27677,1056,2162,412,0,85,0
"Lower Granite",110197,33858,100400,27842,1115,1600,185,16968,48,0
"Lower Monumental",120870,33381,124207,33356,1119,2318,413,0,141,0
"McNary",367490,66126,178291,53970,226524,19398,2710,745984,1487,0
"Priest Rapids",127030,11581,17644,0,266896,5283,507,6382,5032,0
"Prosser",9746,2204,2115,1977,753,1464,153,0,7,0
"Roza",5426,1627,297,248,757,19,0,0,0,0
"Rock Island",86367,12040,15524,6504,259206,5362,389,0,1486,59
"Rocky Reach",62265,7711,11813,4654,218293,1171,96,0,1386,124
"The Dalles",495648,103888,245521,80500,269256,36541,3669,828067,7016,0
"Tumwater",6975,1339,925,0,39912,99,0,0,0,0
"Wanapum",84993,7719,14630,0,212317,1723,214,318,3036,0
"Wells",47834,6638,8748,3553,207576,547,8,0,0,68
"Willamette Falls",35940,1916,22732,0,0,6733,2065,0,0,0
