"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",766849,134148,331726,110775,315666,119457,7340,2045668,24327,0
"Ice Harbor",126972,33554,172511,44242,958,4164,380,145569,416,0
"John Day",437587,100043,252411,82982,260634,41564,4161,0,5763,0
"Little Goose",119427,34040,159749,40330,1056,4243,756,0,83,0
"Lower Granite",115196,38187,165119,43691,1117,4408,425,16968,48,0
"Lower Monumental",123828,36169,178257,48257,1119,4595,645,0,141,0
"McNary",404463,74310,223339,68092,226533,28728,3480,745984,1502,0
"Priest Rapids",149996,13357,19206,0,266896,10517,831,6387,5195,0
"Prosser",12210,2432,4266,3968,753,5780,407,0,7,0
"Roza",5432,1630,307,254,758,515,4,0,0,0
"Rock Island",95002,13025,17187,7133,259217,14427,743,0,1557,59
"Rocky Reach",69856,8580,13631,5343,218305,4161,218,0,1419,138
"The Dalles",527549,112301,271205,88912,269257,48700,4381,828067,7033,0
"Tumwater",6999,1341,1396,0,39913,747,0,0,0,0
"Wanapum",95373,8651,16122,0,212317,5913,395,320,3184,0
"Wells",50906,7105,10643,4307,207589,2687,20,0,0,68
"Willamette Falls",36292,1997,22981,0,0,10466,2692,0,0,0
