"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",229597,43480,24860,10081,286776,-1,0,2013911,8967,0
"Ice Harbor",84056,15395,7643,2091,504,0,0,124880,51,0
"John Day",159186,33139,12151,4866,222326,0,1,0,1160,0
"Little Goose",78809,16841,5886,2807,416,0,0,0,2,0
"Lower Granite",75545,17908,9679,3831,344,0,0,8823,0,0
"Lower Monumental",84576,15438,10043,3288,522,0,0,0,10,0
"McNary",143567,26064,10478,3445,181338,3,0,632960,135,0
"Priest Rapids",49188,3093,579,0,177149,0,0,3588,245,0
"Prosser",7620,1837,1440,1345,163,0,0,0,6,0
"Roza",5114,1394,294,247,70,8,0,0,0,0
"Rock Island",43228,4432,380,221,130104,0,0,0,14,51
"Rocky Reach",23702,2085,504,317,92804,0,0,0,7,115
"The Dalles",182495,35510,11538,4996,236108,0,0,815362,1682,0
"Tumwater",2265,387,268,0,1254,0,0,0,0,0
"Wanapum",41092,2886,527,0,134737,0,0,135,102,0
"Wells",16549,2093,174,113,65598,0,0,0,0,66
"Willamette Falls",32953,1332,20601,0,0,0,0,0,0,0
