"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",766037,134027,330898,110456,315666,117777,7274,2045668,24322,0
"Ice Harbor",126821,33542,169578,43006,958,4110,372,145569,416,0
"John Day",436817,99790,249366,82029,260634,41411,4150,0,5764,0
"Little Goose",119174,33937,156725,39474,1056,4212,731,0,83,0
"Lower Granite",114917,38049,160235,42242,1117,4308,416,16968,48,0
"Lower Monumental",123724,36068,173552,46500,1119,4428,635,0,141,0
"McNary",403938,74195,220978,67479,226533,28494,3469,745984,1502,0
"Priest Rapids",149279,13305,19154,0,266896,10444,826,6387,5192,0
"Prosser",12099,2424,3799,3514,753,5576,389,0,7,0
"Roza",5432,1630,303,250,758,441,4,0,0,0
"Rock Island",94362,12983,17103,7097,259217,14265,732,0,1557,59
"Rocky Reach",69233,8542,13503,5285,218305,4089,213,0,1419,129
"The Dalles",526850,112033,269744,88445,269257,48621,4373,828067,7033,0
"Tumwater",6999,1341,1321,0,39913,724,0,0,0,0
"Wanapum",95035,8623,16067,0,212317,5848,390,320,3178,0
"Wells",50656,7084,10495,4240,207589,2598,20,0,0,68
"Willamette Falls",36290,1997,22912,0,0,10303,2667,0,0,0
