"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",158395,27271,5964,1821,692,-1,0,398356,1627,0
"Ice Harbor",63192,9930,5642,1608,0,0,0,2270,2,0
"John Day",101886,20163,5366,2148,185,0,1,0,88,0
"Little Goose",55934,9610,5107,2580,0,0,0,0,0,0
"Lower Granite",52883,9919,9088,3645,0,0,0,6,0,0
"Lower Monumental",61535,9141,8300,2844,0,0,0,0,1,0
"McNary",88944,15690,6557,2174,54,2,0,22728,11,0
"Priest Rapids",15231,1545,75,0,13,0,0,1,25,0
"Prosser",6327,1128,1431,1337,0,0,0,0,6,0
"Roza",2534,210,294,247,0,8,0,0,0,0
"Rock Island",14222,2024,144,84,0,0,0,0,0,21
"Rocky Reach",5742,858,352,240,0,0,0,0,0,59
"The Dalles",120018,22268,2849,1149,282,0,0,219645,41,0
"Tumwater",95,0,248,0,0,0,0,0,0,0
"Wanapum",13733,1564,116,0,2,0,0,1,13,0
"Wells",4039,957,93,67,0,0,0,0,0,33
"Willamette Falls",23339,870,13686,0,0,0,0,0,0,0
