"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",765341,133893,330488,110291,315666,116005,7207,2045668,24311,0
"Ice Harbor",126689,33517,168216,42415,958,4060,359,145569,416,0
"John Day",436233,99591,248530,81728,260634,41221,4134,0,5761,0
"Little Goose",118960,33857,155175,39049,1056,4168,707,0,83,0
"Lower Granite",114740,37919,157524,41525,1117,4217,407,16968,48,0
"Lower Monumental",123659,36012,169942,45213,1119,4176,634,0,142,0
"McNary",403387,74030,219360,67139,226533,28393,3461,745984,1502,0
"Priest Rapids",147728,13208,19103,0,266896,10298,820,6385,5187,0
"Prosser",11921,2407,3527,3258,753,5276,373,0,7,0
"Roza",5432,1630,302,250,758,312,4,0,0,0
"Rock Island",93016,12932,17044,7071,259217,13896,718,0,1556,59
"Rocky Reach",67861,8483,13412,5242,218305,3939,207,0,1419,127
"The Dalles",526429,111790,268916,88141,269257,48556,4367,828067,7033,0
"Tumwater",6999,1341,1279,0,39913,695,0,0,0,0
"Wanapum",94300,8581,16020,0,212317,5730,386,320,3170,0
"Wells",50047,7057,10393,4195,207589,2432,20,0,0,68
"Willamette Falls",36286,1997,22887,0,0,10177,2647,0,0,0
