"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",224111,42070,19253,7150,258414,-1,0,1986192,7613,0
"Ice Harbor",83021,15091,6998,1904,353,0,0,109947,36,0
"John Day",153628,31826,10126,3908,193410,0,1,0,904,0
"Little Goose",77372,16279,5605,2713,233,0,0,0,-1,0
"Lower Granite",74213,17136,9441,3747,156,0,0,7003,0,0
"Lower Monumental",83390,14975,9459,3109,332,0,0,0,6,0
"McNary",137454,24934,9266,2985,154043,3,0,570684,103,0
"Priest Rapids",42596,2838,407,0,126857,0,0,2163,167,0
"Prosser",7588,1823,1439,1344,140,0,0,0,6,0
"Roza",4993,1308,294,247,51,8,0,0,0,0
"Rock Island",35805,3929,291,171,74376,0,0,0,9,47
"Rocky Reach",18115,1687,446,290,49182,0,0,0,3,111
"The Dalles",177094,34277,8619,3522,207114,0,0,8e+05,1332,0
"Tumwater",1781,255,262,0,461,0,0,0,0,0
"Wanapum",34447,2736,390,0,86534,0,0,84,73,0
"Wells",12615,1862,149,100,30496,0,0,0,0,66
"Willamette Falls",32276,1292,20136,0,0,0,0,0,0,0
