"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",765133,133855,330394,110256,315666,115481,7187,2045668,24309,0
"Ice Harbor",126673,33507,167748,42292,958,4044,357,145569,416,0
"John Day",436021,99545,248138,81563,260634,41135,4128,0,5760,0
"Little Goose",118924,33829,154606,38899,1056,4152,704,0,83,0
"Lower Granite",114701,37878,156850,41339,1117,4193,402,16968,48,0
"Lower Monumental",123637,35996,169337,45010,1119,4153,630,0,142,0
"McNary",403072,73985,218967,66982,226533,28305,3452,745984,1502,0
"Priest Rapids",147178,13179,19084,0,266896,10250,819,6385,5186,0
"Prosser",11869,2402,3478,3214,753,5196,370,0,7,0
"Roza",5432,1630,302,250,758,303,4,0,0,0
"Rock Island",92656,12915,17025,7063,259217,13752,715,0,1555,59
"Rocky Reach",67526,8470,13393,5234,218305,3903,206,0,1419,127
"The Dalles",526230,111748,268719,88061,269257,48500,4362,828067,7033,0
"Tumwater",6999,1341,1272,0,39913,689,0,0,0,0
"Wanapum",94080,8572,16008,0,212317,5685,385,320,3168,0
"Wells",49900,7048,10374,4187,207589,2385,20,0,0,68
"Willamette Falls",36284,1997,22883,0,0,10140,2642,0,0,0
