"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",242499,46360,59784,27661,312733,-1,0,2038844,14082,0
"Ice Harbor",85899,15961,11452,3355,888,0,0,142333,105,0
"John Day",170172,35976,25022,11167,256364,0,1,0,2267,0
"Little Goose",81380,17993,7554,3502,918,0,0,0,17,0
"Lower Granite",78048,19356,10990,4388,885,0,0,14686,3,0
"Lower Monumental",86797,16419,13541,4596,1021,0,0,0,29,0
"McNary",155498,28351,18223,6923,222264,3,0,720816,313,0
"Priest Rapids",64368,3627,1404,0,255524,0,0,5370,584,0
"Prosser",7679,1880,1446,1349,422,0,0,0,6,0
"Roza",5270,1520,294,247,223,8,0,0,0,0
"Rock Island",60225,6019,935,520,239852,0,0,0,57,58
"Rocky Reach",37963,3234,829,461,196187,0,0,0,34,121
"The Dalles",194113,38221,31844,15364,265895,0,0,825547,3358,0
"Tumwater",4488,910,320,0,21212,0,0,0,0,0
"Wanapum",54717,3303,1261,0,201175,0,0,229,251,0
"Wells",28615,3143,342,197,177352,0,0,0,0,68
"Willamette Falls",33950,1427,21455,0,0,0,0,0,0,0
