"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",730025,125327,319714,107312,315666,76808,5040,2045668,24248,0
"Ice Harbor",123309,30676,123406,31032,958,2451,245,145569,410,0
"John Day",401927,90784,207680,67470,260632,27416,3343,0,5711,0
"Little Goose",113704,30233,97636,26110,1056,1792,362,0,85,0
"Lower Granite",108943,33028,93286,26179,1115,1248,158,16968,48,0
"Lower Monumental",119996,32678,116884,31643,1119,2086,372,0,141,0
"McNary",360326,64673,172692,52448,226520,18324,2589,745984,1483,0
"Priest Rapids",124630,11327,17368,0,266896,4830,471,6380,4994,0
"Prosser",9673,2191,2044,1911,753,1227,129,0,7,0
"Roza",5425,1627,296,248,757,14,0,0,0,0
"Rock Island",85744,11909,15209,6386,259204,4249,356,0,1467,59
"Rocky Reach",61879,7622,11529,4554,218291,951,81,0,1374,124
"The Dalles",490247,102276,240775,79111,269255,35190,3567,828067,7009,0
"Tumwater",6971,1339,910,0,39911,78,0,0,0,0
"Wanapum",83853,7612,14390,0,212317,1552,200,318,3000,0
"Wells",47681,6585,8452,3446,207574,405,7,0,0,68
"Willamette Falls",35878,1900,22717,0,0,6136,1912,0,0,0
