"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",396405,68783,256928,92168,315659,16063,1161,2045668,23449,0
"Ice Harbor",94144,17883,41354,11835,958,16,5,145569,363,0
"John Day",216386,46436,98237,37513,260567,1735,434,0,5184,0
"Little Goose",87359,19354,23420,9144,1055,1,0,0,79,0
"Lower Granite",82526,20694,23328,9114,1103,0,0,16968,47,0
"Lower Monumental",93457,18607,38671,12882,1119,4,0,0,129,0
"McNary",187434,34306,72321,26798,226413,450,111,745984,1289,0
"Priest Rapids",81039,7045,10183,0,266891,98,17,6360,3894,0
"Prosser",8051,1980,1461,1364,683,0,0,0,6,0
"Roza",5390,1608,294,247,724,8,0,0,0,0
"Rock Island",77792,9972,8172,3805,259123,8,8,0,1030,59
"Rocky Reach",56073,6191,5991,2617,218220,1,1,0,954,124
"The Dalles",266004,52205,132019,51549,269218,3007,611,828067,6551,0
"Tumwater",6925,1325,651,0,39705,0,0,0,0,0
"Wanapum",68736,5491,8384,0,212315,25,4,308,2026,0
"Wells",45006,5720,3861,1741,207484,0,0,0,0,68
"Willamette Falls",34893,1597,22371,0,0,100,75,0,0,0
