"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",152472,26019,5611,1738,203,-1,0,275450,1240,0
"Ice Harbor",60832,9281,5626,1607,0,0,0,1055,1,0
"John Day",98270,19262,5316,2136,39,0,1,0,82,0
"Little Goose",53137,8656,5097,2578,0,0,0,0,0,0
"Lower Granite",49878,8874,9082,3642,0,0,0,3,0,0
"Lower Monumental",58879,8359,8278,2840,0,0,0,0,1,0
"McNary",86024,14936,6520,2168,11,1,0,9353,9,0
"Priest Rapids",14571,1377,71,0,5,0,0,1,21,0
"Prosser",6112,1031,1431,1337,0,0,0,0,6,0
"Roza",2093,125,294,247,0,8,0,0,0,0
"Rock Island",13498,1758,138,81,0,0,0,0,0,18
"Rocky Reach",5441,741,345,235,0,0,0,0,0,48
"The Dalles",115635,21288,2786,1136,68,0,0,142767,12,0
"Tumwater",66,0,248,0,0,0,0,0,0,0
"Wanapum",13083,1373,113,0,1,0,0,1,11,0
"Wells",3801,765,90,64,0,0,0,0,0,26
"Willamette Falls",22436,814,13037,0,0,0,0,0,0,0
