"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",491282,80386,273216,96118,315661,32334,2076,2045668,23725,0
"Ice Harbor",99997,19821,50868,14118,958,84,18,145569,373,0
"John Day",248553,52815,117307,42772,260596,4663,840,0,5325,0
"Little Goose",91466,20597,31276,11067,1055,25,6,0,80,0
"Lower Granite",85236,21862,30015,11038,1105,2,1,16968,47,0
"Lower Monumental",98214,20279,47069,14967,1119,34,5,0,134,0
"McNary",211308,38140,86897,30724,226441,1406,283,745984,1351,0
"Priest Rapids",84427,7644,11704,0,266892,235,41,6361,4184,0
"Prosser",8220,2002,1487,1389,711,6,1,0,6,0
"Roza",5392,1609,294,247,729,8,0,0,0,0
"Rock Island",78504,10320,9698,4347,259146,59,28,0,1173,59
"Rocky Reach",56598,6430,6990,2967,218240,3,3,0,1081,124
"The Dalles",313545,61024,156301,57692,269240,8196,1263,828067,6696,0
"Tumwater",6934,1331,690,0,39766,0,0,0,0,0
"Wanapum",69942,5869,9766,0,212315,123,35,316,2264,0
"Wells",45503,5878,4642,2032,207512,0,0,0,0,68
"Willamette Falls",35012,1624,22459,0,0,258,143,0,0,0
