"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",763537,133531,329750,110028,315666,111937,7026,2045668,24307,0
"Ice Harbor",126529,33411,164512,41368,958,3897,347,145569,416,0
"John Day",434233,99179,245439,80375,260633,40172,4083,0,5758,0
"Little Goose",118616,33603,150030,37752,1056,3969,668,0,83,0
"Lower Granite",114364,37571,151391,39846,1117,3928,375,16968,48,0
"Lower Monumental",123497,35881,165185,43740,1119,3967,602,0,142,0
"McNary",400867,73525,215896,65887,226533,27605,3397,745984,1501,0
"Priest Rapids",143099,12933,18949,0,266896,9723,791,6383,5177,0
"Prosser",11278,2360,3204,2968,753,4713,345,0,7,0
"Roza",5432,1630,301,250,758,216,4,0,0,0
"Rock Island",90375,12799,16892,7015,259217,12619,677,0,1548,59
"Rocky Reach",65587,8368,13257,5177,218305,3504,194,0,1419,126
"The Dalles",524298,111338,266923,87330,269257,47611,4302,828067,7033,0
"Tumwater",6999,1341,1214,0,39913,615,0,0,0,0
"Wanapum",92221,8452,15879,0,212317,5254,369,320,3157,0
"Wells",49176,6985,10229,4129,207589,2048,20,0,0,68
"Willamette Falls",36276,1997,22856,0,0,9870,2617,0,0,0
