"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",738423,127565,322067,107899,315666,81474,5380,2045668,24271,0
"Ice Harbor",124279,31582,132397,33135,958,2679,268,145569,411,0
"John Day",409803,93150,216923,70354,260632,29436,3492,0,5726,0
"Little Goose",115241,31219,108513,28458,1056,2273,430,0,85,0
"Lower Granite",110788,34271,104290,28716,1115,1808,195,16968,48,0
"Lower Monumental",121202,33655,127330,34077,1119,2429,434,0,141,0
"McNary",370681,66860,181497,54855,226526,19873,2757,745984,1489,0
"Priest Rapids",128128,11685,17768,0,266896,5536,523,6383,5046,0
"Prosser",9782,2210,2155,2015,753,1570,165,0,7,0
"Roza",5428,1628,297,248,757,20,0,0,0,0
"Rock Island",86607,12099,15658,6554,259207,5895,413,0,1492,59
"Rocky Reach",62491,7761,11946,4698,218294,1310,105,0,1391,124
"The Dalles",498352,104671,247556,81116,269256,37280,3711,828067,7019,0
"Tumwater",6978,1339,931,0,39913,108,0,0,0,0
"Wanapum",85522,7785,14743,0,212317,1813,223,318,3049,0
"Wells",47904,6653,8863,3594,207577,608,9,0,0,68
"Willamette Falls",35970,1923,22741,0,0,7054,2127,0,0,0
