"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",246140,47262,83925,38784,314634,-1,0,2041697,16531,0
"Ice Harbor",86299,16047,14182,4292,925,0,0,143816,145,0
"John Day",173223,36762,33596,15246,258885,1,1,0,2764,0
"Little Goose",81952,18178,8719,3996,996,0,0,0,25,0
"Lower Granite",78631,19631,11871,4800,1003,0,0,15860,7,0
"Lower Monumental",87249,16566,15590,5412,1080,0,0,0,38,0
"McNary",158621,28947,23835,9423,224797,3,0,733032,449,0
"Priest Rapids",68722,3846,2028,0,263043,0,0,5678,862,0
"Prosser",7736,1905,1446,1349,632,0,0,0,6,0
"Roza",5289,1539,294,247,341,8,0,0,0,0
"Rock Island",65369,6564,1355,739,252881,0,0,0,99,59
"Rocky Reach",43002,3699,1089,582,210884,0,0,0,69,122
"The Dalles",197298,38970,45415,22004,268020,0,0,826583,4022,0
"Tumwater",5308,1097,359,0,27957,0,0,0,0,0
"Wanapum",59035,3437,1807,0,208736,0,0,236,356,0
"Wells",32934,3610,490,267,196544,0,0,0,0,68
"Willamette Falls",34294,1465,21765,0,0,0,0,0,0,0
