"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",766925,134159,332020,110886,315666,119614,7344,2045668,24327,0
"Ice Harbor",126977,33554,172900,44419,958,4163,380,145569,416,0
"John Day",437693,100068,252915,83117,260634,41582,4165,0,5772,0
"Little Goose",119442,34040,160610,40593,1056,4244,757,0,83,0
"Lower Granite",115212,38188,165923,43926,1117,4412,425,16968,48,0
"Lower Monumental",123851,36173,178926,48530,1119,4602,645,0,141,0
"McNary",404551,74320,224348,68410,226533,28787,3483,745984,1502,0
"Priest Rapids",149996,13357,19206,0,266896,10517,831,6387,5195,0
"Prosser",12210,2432,4386,4085,753,5819,408,0,7,0
"Roza",5432,1630,307,254,758,557,7,0,0,0
"Rock Island",95002,13025,17187,7133,259217,14427,743,0,1557,59
"Rocky Reach",69856,8580,13631,5343,218305,4161,218,0,1419,138
"The Dalles",527624,112324,271676,89089,269257,48710,4382,828067,7033,0
"Tumwater",6999,1341,1409,0,39913,747,0,0,0,0
"Wanapum",95373,8651,16122,0,212317,5913,395,320,3184,0
"Wells",50906,7105,10643,4307,207589,2687,20,0,0,68
"Willamette Falls",36292,1997,23048,0,0,10495,2695,0,0,0
