"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",166758,28997,6502,1949,2818,-1,0,677970,2314,0
"Ice Harbor",65862,10669,5680,1612,0,0,0,7475,3,0
"John Day",107507,21408,5480,2177,1004,0,1,0,119,0
"Little Goose",58768,10599,5121,2583,1,0,0,0,0,0
"Lower Granite",55738,10993,9097,3648,0,0,0,29,0,0
"Lower Monumental",64388,10027,8331,2850,0,0,0,0,1,0
"McNary",93762,16789,6621,2184,311,2,0,52591,13,0
"Priest Rapids",16191,1704,80,0,57,0,0,5,31,0
"Prosser",6534,1234,1431,1337,0,0,0,0,6,0
"Roza",2837,313,294,247,0,8,0,0,0,0
"Rock Island",15007,2301,148,87,4,0,0,0,1,25
"Rocky Reach",6067,1012,360,244,2,0,0,0,0,71
"The Dalles",126748,23622,2980,1176,1338,0,0,283719,115,0
"Tumwater",165,3,248,0,0,0,0,0,0,0
"Wanapum",14482,1760,122,0,19,0,0,1,19,0
"Wells",4316,1131,99,71,0,0,0,0,0,41
"Willamette Falls",24622,942,14540,0,0,0,0,0,0,0
