"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",687040,114247,309099,104708,315666,65303,4033,2045668,24168,0
"Ice Harbor",117920,27158,95322,24534,958,1458,191,145569,401,0
"John Day",362483,79148,177230,58928,260627,21066,2674,0,5639,0
"Little Goose",107833,27120,70109,19956,1056,790,180,0,84,0
"Lower Granite",102293,29052,65084,19669,1114,344,57,16968,48,0
"Lower Monumental",114759,28959,89955,25391,1119,983,206,0,141,0
"McNary",315524,55383,140556,44372,226500,11897,1965,745984,1451,0
"Priest Rapids",109348,9967,15861,0,266896,2585,297,6377,4795,0
"Prosser",9316,2125,1772,1655,751,349,61,0,7,0
"Roza",5420,1623,294,247,752,8,0,0,0,0
"Rock Island",82796,11340,13543,5768,259194,1461,189,0,1406,59
"Rocky Reach",59694,7177,10070,4041,218278,227,31,0,1317,124
"The Dalles",450420,90756,214027,71761,269254,28440,3022,828067,6952,0
"Tumwater",6956,1337,840,0,39900,20,0,0,0,0
"Wanapum",77913,7024,13096,0,212317,918,147,317,2814,0
"Wells",46922,6342,7176,2990,207560,63,1,0,0,68
"Willamette Falls",35533,1771,22619,0,0,2974,1059,0,0,0
