"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",668165,109735,305314,103824,315665,62075,3811,2045668,24138,0
"Ice Harbor",115887,26092,89016,23082,958,1202,175,145569,398,0
"John Day",348926,75631,168074,56471,260626,18625,2433,0,5611,0
"Little Goose",105831,26161,62817,18365,1056,578,140,0,83,0
"Lower Granite",99949,27934,57503,17907,1112,228,38,16968,48,0
"Lower Monumental",112864,27723,82708,23688,1119,754,157,0,140,0
"McNary",299299,52676,132434,42293,226495,10202,1656,745984,1439,0
"Priest Rapids",104267,9556,15333,0,266894,2114,266,6376,4723,0
"Prosser",9157,2108,1718,1604,749,242,45,0,7,0
"Roza",5413,1620,294,247,748,8,0,0,0,0
"Rock Island",82022,11194,13043,5590,259188,1040,153,0,1387,59
"Rocky Reach",59122,7082,9652,3903,218273,138,26,0,1301,124
"The Dalles",435574,86589,205720,69679,269253,26030,2824,828067,6928,0
"Tumwater",6954,1337,821,0,39894,14,0,0,0,0
"Wanapum",76294,6829,12712,0,212317,803,132,317,2756,0
"Wells",46689,6282,6840,2868,207556,36,0,0,0,68
"Willamette Falls",35445,1751,22593,0,0,2174,840,0,0,0
