"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",235213,44785,35204,15516,303544,-1,0,2028124,10889,0
"Ice Harbor",85044,15717,8840,2476,715,0,0,135089,69,0
"John Day",164124,34432,16152,6886,244604,0,1,0,1568,0
"Little Goose",80186,17448,6377,3006,650,0,0,0,7,0
"Lower Granite",76924,18709,10072,3985,585,0,0,11621,1,0
"Lower Monumental",85712,15976,11123,3658,772,0,0,0,17,0
"McNary",149135,27152,12647,4366,207798,3,0,679930,187,0
"Priest Rapids",56486,3346,843,0,220168,0,0,4465,364,0
"Prosser",7663,1868,1443,1348,383,0,0,0,6,0
"Roza",5197,1464,294,247,88,8,0,0,0,0
"Rock Island",51121,5056,551,313,188251,0,0,0,28,55
"Rocky Reach",29771,2504,599,358,144565,0,0,0,16,119
"The Dalles",187534,36673,17480,8182,255501,0,0,822132,2280,0
"Tumwater",2949,575,282,0,5172,0,0,0,0,0
"Wanapum",47756,3055,761,0,173074,0,0,208,171,0
"Wells",21702,2481,223,139,118742,0,0,0,0,68
"Willamette Falls",33484,1373,21002,0,0,0,0,0,0,0
