"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",154349,26411,5718,1762,303,-1,0,311937,1364,0
"Ice Harbor",61717,9525,5632,1608,0,0,0,1261,2,0
"John Day",99441,19560,5331,2142,69,0,1,0,82,0
"Little Goose",54166,8994,5100,2578,0,0,0,0,0,0
"Lower Granite",50953,9218,9085,3644,0,0,0,3,0,0
"Lower Monumental",59836,8623,8284,2841,0,0,0,0,1,0
"McNary",86989,15203,6532,2171,16,2,0,12320,9,0
"Priest Rapids",14844,1439,72,0,6,0,0,1,22,0
"Prosser",6192,1065,1431,1337,0,0,0,0,6,0
"Roza",2256,152,294,247,0,8,0,0,0,0
"Rock Island",13711,1857,140,82,0,0,0,0,0,19
"Rocky Reach",5543,773,347,237,0,0,0,0,0,52
"The Dalles",117072,21593,2805,1140,118,0,0,171532,21,0
"Tumwater",76,0,248,0,0,0,0,0,0,0
"Wanapum",13334,1445,114,0,1,0,0,1,11,0
"Wells",3887,825,91,65,0,0,0,0,0,29
"Willamette Falls",22710,834,13263,0,0,0,0,0,0,0
