"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",658768,107598,303376,103358,315665,60639,3708,2045668,24128,0
"Ice Harbor",114805,25580,85612,22298,958,1080,165,145569,395,0
"John Day",341437,73721,163850,55317,260624,17456,2318,0,5595,0
"Little Goose",104822,25666,59025,17502,1056,494,127,0,83,0
"Lower Granite",98567,27211,53697,16990,1111,183,34,16968,48,0
"Lower Monumental",111837,27010,78942,22781,1119,631,131,0,139,0
"McNary",291847,51346,128570,41357,226491,9388,1456,745984,1435,0
"Priest Rapids",101950,9369,15078,0,266894,1849,246,6375,4691,0
"Prosser",9066,2098,1692,1580,748,193,39,0,7,0
"Roza",5413,1620,294,247,746,8,0,0,0,0
"Rock Island",81601,11117,12802,5496,259185,837,141,0,1376,59
"Rocky Reach",58748,7022,9421,3819,218271,108,23,0,1291,124
"The Dalles",427104,84611,201510,68647,269252,24773,2716,828067,6916,0
"Tumwater",6953,1337,813,0,39890,12,0,0,0,0
"Wanapum",75539,6751,12507,0,212317,745,127,317,2732,0
"Wells",46552,6248,6646,2798,207552,24,0,0,0,68
"Willamette Falls",35408,1744,22581,0,0,1878,749,0,0,0
