"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",215112,39892,14510,4836,208563,-1,0,1912082,6253,0
"Ice Harbor",80978,14463,6434,1756,145,0,0,84671,19,0
"John Day",145590,29909,8271,3117,142754,0,1,0,604,0
"Little Goose",74984,15324,5387,2647,66,0,0,0,-1,0
"Lower Granite",71700,16136,9285,3698,32,0,0,4848,0,0
"Lower Monumental",81039,14113,8969,2976,117,0,0,0,5,0
"McNary",129136,23484,8138,2589,100954,3,0,463555,67,0
"Priest Rapids",33612,2584,242,0,55420,0,0,792,118,0
"Prosser",7525,1774,1437,1342,107,0,0,0,6,0
"Roza",4791,1152,294,247,15,8,0,0,0,0
"Rock Island",28170,3505,222,131,24782,0,0,0,4,44
"Rocky Reach",13007,1448,412,273,15349,0,0,0,0,107
"The Dalles",168677,32491,6183,2348,160420,0,0,758073,1021,0
"Tumwater",1298,139,257,0,244,0,0,0,0,0
"Wanapum",27375,2577,256,0,36518,0,0,28,54,0
"Wells",8785,1655,132,91,8228,0,0,0,0,65
"Willamette Falls",31214,1234,19385,0,0,0,0,0,0,0
