"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",742924,128735,323377,108233,315666,84813,5598,2045668,24281,0
"Ice Harbor",124810,32009,137591,34395,958,2818,275,145569,412,0
"John Day",414097,94391,221261,71748,260632,30606,3573,0,5732,0
"Little Goose",115923,31715,114895,29816,1056,2541,470,0,85,0
"Lower Granite",111518,34882,111297,30314,1117,2129,217,16968,48,0
"Lower Monumental",121688,34173,133374,35547,1119,2615,466,0,141,0
"McNary",375697,68115,187342,56663,226527,20875,2883,745984,1492,0
"Priest Rapids",129713,11850,18006,0,266896,6077,563,6383,5070,0
"Prosser",9840,2220,2224,2081,753,1787,190,0,7,0
"Roza",5429,1628,297,248,757,26,0,0,0,0
"Rock Island",86975,12193,15885,6645,259209,6535,443,0,1510,59
"Rocky Reach",62817,7834,12164,4773,218296,1579,118,0,1400,124
"The Dalles",502927,105918,250799,82117,269256,38563,3774,828067,7021,0
"Tumwater",6983,1340,952,0,39913,124,0,0,0,0
"Wanapum",86371,7877,14948,0,212317,2116,243,319,3067,0
"Wells",48053,6705,9096,3682,207581,771,9,0,0,68
"Willamette Falls",36035,1940,22751,0,0,7557,2227,0,0,0
