"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",534969,86067,279875,97744,315663,38793,2456,2045668,23841,0
"Ice Harbor",102658,20791,56363,15407,958,146,30,145569,378,0
"John Day",267386,56562,126158,45228,260607,6469,1081,0,5392,0
"Little Goose",93627,21280,34698,11884,1055,53,14,0,81,0
"Lower Granite",87210,22513,33295,11925,1107,6,2,16968,48,0
"Lower Monumental",100717,21258,51755,16148,1119,84,16,0,135,0
"McNary",222533,39917,93850,32608,226458,2328,410,745984,1371,0
"Priest Rapids",86346,7891,12335,0,266892,387,71,6354,4296,0
"Prosser",8400,2018,1511,1412,725,14,4,0,6,0
"Roza",5403,1613,294,247,731,8,0,0,0,0
"Rock Island",78871,10473,10204,4527,259152,107,39,0,1227,59
"Rocky Reach",56830,6534,7390,3101,218245,7,5,0,1137,124
"The Dalles",338870,65391,164551,59623,269244,10861,1605,828067,6750,0
"Tumwater",6939,1333,711,0,39807,0,0,0,0,0
"Wanapum",70466,6014,10301,0,212316,166,42,316,2351,0
"Wells",45657,5941,4969,2148,207521,0,0,0,0,68
"Willamette Falls",35085,1644,22492,0,0,508,225,0,0,0
