"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",765675,133961,330656,110353,315666,116927,7241,2045668,24318,0
"Ice Harbor",126737,33531,168703,42632,958,4074,365,145569,416,0
"John Day",436508,99689,248837,81840,260634,41269,4136,0,5770,0
"Little Goose",119072,33884,155785,39204,1056,4185,722,0,83,0
"Lower Granite",114823,37979,158824,41863,1117,4260,412,16968,48,0
"Lower Monumental",123682,36041,171076,45606,1119,4285,635,0,142,0
"McNary",403630,74091,219911,67258,226533,28426,3463,745984,1502,0
"Priest Rapids",148575,13262,19132,0,266896,10363,823,6386,5189,0
"Prosser",12020,2416,3643,3364,753,5417,379,0,7,0
"Roza",5432,1630,302,250,758,356,4,0,0,0
"Rock Island",93651,12955,17070,7082,259217,14065,723,0,1557,59
"Rocky Reach",68477,8511,13447,5257,218305,4013,209,0,1419,127
"The Dalles",526659,111907,269288,88292,269257,48586,4371,828067,7032,0
"Tumwater",6999,1341,1293,0,39913,708,0,0,0,0
"Wanapum",94677,8600,16042,0,212317,5792,387,320,3173,0
"Wells",50335,7071,10434,4213,207589,2514,20,0,0,68
"Willamette Falls",36287,1997,22896,0,0,10240,2656,0,0,0
