"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",236427,45028,37817,16841,305546,-1,0,2030284,11262,0
"Ice Harbor",85201,15767,9133,2583,753,0,0,136502,70,0
"John Day",164990,34628,17043,7349,247173,0,1,0,1659,0
"Little Goose",80419,17554,6518,3061,689,0,0,0,8,0
"Lower Granite",77088,18817,10166,4025,631,0,0,12367,1,0
"Lower Monumental",85919,16063,11358,3739,818,0,0,0,18,0
"McNary",150067,27330,13227,4634,210865,3,0,688028,201,0
"Priest Rapids",57748,3390,910,0,227973,0,0,4640,391,0
"Prosser",7666,1870,1444,1348,400,0,0,0,6,0
"Roza",5210,1473,294,247,92,8,0,0,0,0
"Rock Island",52496,5181,587,333,197164,0,0,0,30,56
"Rocky Reach",31057,2598,626,370,153203,0,0,0,18,119
"The Dalles",188363,36893,18728,8823,257728,0,0,822829,2430,0
"Tumwater",3133,618,285,0,6783,0,0,0,0,0
"Wanapum",48721,3085,806,0,177746,0,0,211,181,0
"Wells",22650,2564,236,146,128093,0,0,0,0,68
"Willamette Falls",33547,1378,21066,0,0,0,0,0,0,0
