"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",766177,134046,330977,110488,315666,117970,7283,2045668,24322,0
"Ice Harbor",126847,33545,169818,43098,958,4117,373,145569,416,0
"John Day",436892,99830,249488,82066,260634,41437,4153,0,5763,0
"Little Goose",119201,33946,156994,39552,1056,4222,733,0,83,0
"Lower Granite",114943,38068,160611,42341,1117,4322,417,16968,48,0
"Lower Monumental",123728,36080,174207,46755,1119,4461,636,0,141,0
"McNary",403988,74212,221228,67519,226533,28515,3472,745984,1502,0
"Priest Rapids",149466,13316,19161,0,266896,10463,827,6387,5193,0
"Prosser",12116,2426,3848,3562,753,5624,392,0,7,0
"Roza",5432,1630,303,250,758,463,4,0,0,0
"Rock Island",94515,12988,17114,7102,259217,14305,735,0,1557,59
"Rocky Reach",69404,8551,13515,5291,218305,4105,214,0,1419,129
"The Dalles",526937,112067,269871,88486,269257,48627,4374,828067,7033,0
"Tumwater",6999,1341,1329,0,39913,726,0,0,0,0
"Wanapum",95101,8627,16073,0,212317,5860,391,320,3180,0
"Wells",50738,7089,10515,4249,207589,2615,20,0,0,68
"Willamette Falls",36291,1997,22918,0,0,10320,2671,0,0,0
