"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",202158,36942,10786,3255,119468,-1,0,1721049,5085,0
"Ice Harbor",77893,13475,6062,1676,39,0,0,57556,12,0
"John Day",134173,27254,6833,2582,62096,0,1,0,398,0
"Little Goose",70878,13930,5253,2611,15,0,0,0,-1,0
"Lower Granite",67256,14543,9188,3671,3,0,0,2018,0,0
"Lower Monumental",77502,13013,8674,2911,20,0,0,0,3,0
"McNary",118067,21443,7324,2344,34133,3,0,309399,41,0
"Priest Rapids",25795,2251,141,0,12861,0,0,105,77,0
"Prosser",7361,1668,1434,1339,67,0,0,0,6,0
"Roza",4392,913,294,247,1,8,0,0,0,0
"Rock Island",22168,3122,183,106,4874,0,0,0,1,40
"Rocky Reach",9293,1304,391,262,2600,0,0,0,0,101
"The Dalles",156394,29747,4364,1601,77525,0,0,663291,693,0
"Tumwater",719,51,252,0,1,0,0,0,0,0
"Wanapum",21640,2383,173,0,7905,0,0,6,39,0
"Wells",6203,1513,121,85,1128,0,0,0,0,59
"Willamette Falls",29143,1150,18138,0,0,0,0,0,0,0
