"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",766890,134154,331834,110815,315666,119549,7343,2045668,24327,0
"Ice Harbor",126976,33554,172677,44328,958,4163,380,145569,416,0
"John Day",437638,100057,252668,83043,260634,41571,4162,0,5765,0
"Little Goose",119438,34042,160076,40426,1056,4244,757,0,83,0
"Lower Granite",115204,38188,165430,43780,1117,4411,425,16968,48,0
"Lower Monumental",123840,36170,178423,48312,1119,4599,645,0,141,0
"McNary",404502,74315,223791,68227,226533,28767,3483,745984,1502,0
"Priest Rapids",149996,13357,19206,0,266896,10517,831,6387,5195,0
"Prosser",12210,2432,4324,4025,753,5813,408,0,7,0
"Roza",5432,1630,307,254,758,538,6,0,0,0
"Rock Island",95002,13025,17187,7133,259217,14427,743,0,1557,59
"Rocky Reach",69856,8580,13631,5343,218305,4161,218,0,1419,138
"The Dalles",527583,112315,271459,89010,269257,48705,4382,828067,7033,0
"Tumwater",6999,1341,1403,0,39913,747,0,0,0,0
"Wanapum",95373,8651,16122,0,212317,5913,395,320,3184,0
"Wells",50906,7105,10643,4307,207589,2687,20,0,0,68
"Willamette Falls",36292,1997,22992,0,0,10480,2694,0,0,0
