"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",881,2,2715,1011,0,-1,0,0,0,0
"Ice Harbor",25,1,3944,894,0,0,0,0,0,0
"John Day",143,9,3863,1382,0,0,1,0,-1,0
"Little Goose",7,1,2748,1327,0,0,0,0,0,0
"Lower Granite",3,0,6336,2160,0,0,0,0,0,0
"Lower Monumental",9,0,5965,1582,0,0,0,0,0,0
"McNary",44,0,5250,1525,0,1,0,0,0,0
"Priest Rapids",0,0,0,0,0,0,0,0,0,0
"Prosser",1,0,1178,1104,0,0,0,0,0,0
"Roza",0,0,138,110,0,8,0,0,0,0
"Rock Island",0,0,0,0,0,0,0,0,0,0
"Rocky Reach",0,0,0,0,0,0,0,0,0,0
"The Dalles",278,3,1893,786,0,0,0,0,0,0
"Tumwater",0,0,45,0,0,0,0,0,0,0
"Wanapum",0,0,0,0,0,0,0,0,0,0
"Wells",0,0,0,0,0,0,0,0,0,0
"Willamette Falls",188,0,4413,0,0,0,0,0,0,0
