"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",252170,48613,135848,58733,315478,13,6,2044454,19983,0
"Ice Harbor",86870,16139,20360,6285,950,0,0,145117,220,0
"John Day",177174,37961,48800,22119,260243,5,2,0,3822,0
"Little Goose",82595,18329,11485,5140,1043,0,0,0,44,0
"Lower Granite",79179,19865,13696,5600,1068,0,0,16705,18,0
"Lower Monumental",87788,16708,20816,7425,1110,0,0,0,67,0
"McNary",162886,29754,36649,15080,226121,3,0,742269,773,0
"Priest Rapids",73921,4399,3988,0,266424,0,0,6056,1626,0
"Prosser",7810,1919,1446,1349,665,0,0,0,6,0
"Roza",5333,1565,294,247,543,8,0,0,0,0
"Rock Island",71467,7429,2730,1444,258237,0,0,0,236,59
"Rocky Reach",49596,4397,1972,984,217174,0,0,0,186,122
"The Dalles",202026,40215,68739,32459,268975,1,0,827521,5068,0
"Tumwater",6482,1252,453,0,37629,0,0,0,0,0
"Wanapum",63837,3809,3545,0,211850,0,0,260,687,0
"Wells",39022,4414,935,474,205911,0,0,0,0,68
"Willamette Falls",34562,1501,22033,0,0,0,1,0,0,0
