"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",765816,133983,330741,110390,315666,117229,7253,2045668,24320,0
"Ice Harbor",126758,33535,169035,42775,958,4091,367,145569,416,0
"John Day",436620,99725,249048,81917,260634,41310,4139,0,5768,0
"Little Goose",119118,33904,156095,39287,1056,4198,727,0,83,0
"Lower Granite",114856,38002,159260,41989,1117,4277,414,16968,48,0
"Lower Monumental",123705,36053,172324,46056,1119,4354,635,0,142,0
"McNary",403746,74133,220287,67332,226533,28446,3464,745984,1502,0
"Priest Rapids",148891,13280,19141,0,266896,10397,824,6386,5190,0
"Prosser",12058,2420,3698,3416,753,5474,382,0,7,0
"Roza",5432,1630,302,250,758,397,4,0,0,0
"Rock Island",93907,12966,17083,7088,259217,14147,727,0,1557,59
"Rocky Reach",68789,8522,13470,5267,218305,4045,210,0,1419,128
"The Dalles",526739,111951,269443,88345,269257,48604,4372,828067,7033,0
"Tumwater",6999,1341,1299,0,39913,712,0,0,0,0
"Wanapum",94825,8611,16053,0,212317,5809,388,320,3175,0
"Wells",50446,7076,10454,4223,207589,2543,20,0,0,68
"Willamette Falls",36288,1997,22903,0,0,10267,2661,0,0,0
