"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",164658,28561,6359,1916,2044,-1,0,604372,2121,0
"Ice Harbor",65312,10509,5670,1612,0,0,0,5898,3,0
"John Day",106079,21086,5443,2168,692,0,1,0,105,0
"Little Goose",58060,10363,5116,2582,0,0,0,0,0,0
"Lower Granite",55098,10770,9095,3647,0,0,0,15,0,0
"Lower Monumental",63825,9846,8324,2849,0,0,0,0,1,0
"McNary",92441,16526,6601,2182,195,2,0,43920,12,0
"Priest Rapids",15940,1683,79,0,34,0,0,4,29,0
"Prosser",6491,1211,1431,1337,0,0,0,0,6,0
"Roza",2763,284,294,247,0,8,0,0,0,0
"Rock Island",14790,2242,147,86,2,0,0,0,1,24
"Rocky Reach",6000,978,358,243,1,0,0,0,0,68
"The Dalles",124863,23276,2950,1170,918,0,0,266918,95,0
"Tumwater",146,2,248,0,0,0,0,0,0,0
"Wanapum",14306,1726,121,0,12,0,0,1,17,0
"Wells",4255,1099,97,70,0,0,0,0,0,39
"Willamette Falls",24392,930,14341,0,0,0,0,0,0,0
