"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",766835,134146,331688,110761,315666,119418,7338,2045668,24327,0
"Ice Harbor",126971,33554,172461,44221,958,4164,380,145569,416,0
"John Day",437576,100038,252301,82942,260634,41561,4161,0,5763,0
"Little Goose",119421,34039,159614,40294,1056,4243,756,0,83,0
"Lower Granite",115183,38185,164967,43642,1117,4407,425,16968,48,0
"Lower Monumental",123827,36166,178185,48235,1119,4593,645,0,141,0
"McNary",404455,74308,223119,68026,226533,28722,3480,745984,1502,0
"Priest Rapids",149996,13357,19206,0,266896,10517,831,6387,5195,0
"Prosser",12210,2432,4251,3953,753,5777,407,0,7,0
"Roza",5432,1630,307,254,758,500,4,0,0,0
"Rock Island",95002,13025,17187,7133,259217,14427,743,0,1557,59
"Rocky Reach",69856,8580,13631,5343,218305,4161,218,0,1419,138
"The Dalles",527538,112295,271098,88880,269257,48697,4380,828067,7033,0
"Tumwater",6999,1341,1394,0,39913,747,0,0,0,0
"Wanapum",95373,8651,16122,0,212317,5913,395,320,3184,0
"Wells",50906,7105,10643,4307,207589,2687,20,0,0,68
"Willamette Falls",36292,1997,22977,0,0,10461,2690,0,0,0
