"Project","Chinook","Jack.Chinook","Steelhead","Wild.Steelhead","Sockeye","Coho","Jack.Coho","Shad","Lamprey","Bull.Trout"
"Bonneville",220647,41204,17140,6088,240006,-1,0,1962735,7071,0
"Ice Harbor",82300,14871,6730,1830,262,0,0,98122,25,0
"John Day",150199,31103,9308,3556,175715,0,1,0,775,0
"Little Goose",76467,15909,5494,2679,153,0,0,0,-1,0
"Lower Granite",73291,16734,9366,3722,87,0,0,6163,0,0
"Lower Monumental",82521,14666,9222,3040,228,0,0,0,6,0
"McNary",134539,24458,8763,2810,136659,3,0,527916,90,0
"Priest Rapids",38586,2733,336,0,94365,0,0,1450,144,0
"Prosser",7573,1808,1437,1342,139,0,0,0,6,0
"Roza",4921,1251,294,247,35,8,0,0,0,0
"Rock Island",32460,3736,259,153,50410,0,0,0,7,46
"Rocky Reach",15907,1586,429,282,32066,0,0,0,2,109
"The Dalles",173560,33578,7430,2929,189682,0,0,787851,1192,0
"Tumwater",1574,204,260,0,418,0,0,0,0,0
"Wanapum",31060,2667,331,0,62926,0,0,60,64,0
"Wells",10572,1747,141,96,17993,0,0,0,0,66
"Willamette Falls",31928,1272,19859,0,0,0,0,0,0,0
